id,dev_domain,gender,year_joined,hacktoberfest
17970,DevOps,M,2015,No
17971,Cloud,M,2020,No
17972,Machine Learning,M,2015,No
17973,Android,Other,2013,No
17974,Cybersecurity,M,2015,Yes
17975,Cloud,F,2008,No
17976,Cybersecurity,M,2012,No
17977,Web,M,2023,No
17978,Cloud,F,2009,No
17979,Cybersecurity,F,2008,No
17980,Cloud,M,2021,No
17981,Cybersecurity,F,2022,Yes
17982,Android,M,2011,No
17983,IOS,M,2011,No
17984,Cybersecurity,M,2015,Yes
17985,IOS,M,2013,Yes
17986,DevOps,F,2019,No
17987,Cybersecurity,M,2013,No
17988,Cloud,M,2018,No
17989,Web,Other,2022,Yes
17990,IOS,M,2008,No
17991,Android,Other,2011,No
17992,Web,M,2011,Yes
17993,Windows,F,2017,No
17994,Web,Other,2008,No
17995,Windows,F,2014,No
17996,Cybersecurity,F,2013,No
17997,Cybersecurity,F,2010,Yes
17998,Cloud,F,2014,No
17999,Web,F,2008,No
18000,Web,M,2023,Yes
18001,Cybersecurity,Other,2023,Yes
18002,DevOps,M,2019,Yes
18003,Machine Learning,F,2017,No
18004,Windows,M,2012,Yes
18005,Windows,F,2016,Yes
18006,Web,F,2016,Yes
18007,Web,M,2018,Yes
18008,Web,F,2017,No
18009,IOS,M,2018,Yes
18010,Windows,M,2021,No
18011,Web,M,2017,Yes
18012,Windows,M,2015,Yes
18013,Web,M,2012,No
18014,IOS,M,2016,Yes
18015,Web,Other,2019,No
18016,Web,M,2012,No
18017,Cloud,Other,2016,No
18018,Cybersecurity,M,2011,No
18019,IOS,F,2019,No
18020,Windows,Other,2012,Yes
18021,Web,M,2013,No
18022,DevOps,M,2014,Yes
18023,Windows,F,2016,Yes
18024,Machine Learning,Other,2011,Yes
18025,DevOps,F,2008,No
18026,Cloud,F,2015,Yes
18027,Web,Other,2010,Yes
18028,Windows,Other,2021,Yes
18029,Android,F,2023,No
18030,Cloud,M,2019,Yes
18031,Machine Learning,M,2021,No
18032,IOS,F,2019,No
18033,IOS,M,2014,Yes
18034,Web,M,2011,No
18035,Web,F,2022,Yes
18036,Cybersecurity,Other,2015,Yes
18037,Machine Learning,M,2009,Yes
18038,Web,M,2014,Yes
18039,Android,F,2020,Yes
18040,Machine Learning,F,2009,Yes
18041,Cybersecurity,F,2011,Yes
18042,Cloud,M,2020,No
18043,IOS,F,2018,No
18044,Web,F,2017,No
18045,Machine Learning,F,2017,No
18046,Windows,F,2013,No
18047,Cloud,F,2018,Yes
18048,Cloud,F,2011,Yes
18049,Machine Learning,F,2010,Yes
18050,IOS,Other,2016,Yes
18051,Windows,F,2018,Yes
18052,Machine Learning,F,2014,Yes
18053,Machine Learning,F,2016,Yes
18054,Cloud,F,2013,No
18055,Machine Learning,F,2019,No
18056,Web,F,2010,No
18057,DevOps,M,2012,Yes
18058,Machine Learning,M,2021,No
18059,Android,M,2019,No
18060,Cloud,F,2013,No
18061,Cybersecurity,F,2021,Yes
18062,Cloud,M,2017,Yes
18063,IOS,F,2008,No
18064,Android,Other,2011,Yes
18065,Windows,M,2009,No
18066,Cloud,F,2019,No
18067,Cybersecurity,M,2013,No
18068,Cybersecurity,M,2019,Yes
18069,Windows,F,2008,Yes
18070,DevOps,F,2017,No
18071,Machine Learning,M,2023,Yes
18072,Windows,F,2020,Yes
18073,Android,F,2021,No
18074,Cybersecurity,F,2011,No
18075,Machine Learning,M,2013,No
18076,IOS,F,2013,No
18077,IOS,F,2008,No
18078,Cloud,Other,2017,Yes
18079,Cybersecurity,M,2016,No
18080,Android,M,2010,No
18081,Windows,M,2014,No
18082,Android,M,2018,No
18083,DevOps,F,2018,Yes
18084,Web,F,2015,Yes
18085,DevOps,M,2017,No
18086,Machine Learning,F,2014,No
18087,Machine Learning,F,2023,Yes
18088,Machine Learning,F,2014,No
18089,Cloud,Other,2016,Yes
18090,Machine Learning,F,2019,Yes
18091,IOS,F,2018,Yes
18092,Machine Learning,F,2022,No
18093,Web,M,2012,No
18094,IOS,M,2020,No
18095,Machine Learning,F,2016,Yes
18096,Cloud,M,2016,No
18097,Cloud,F,2023,No
18098,Cloud,M,2018,No
18099,Cybersecurity,M,2018,No
18100,Android,F,2019,Yes
18101,IOS,M,2012,No
18102,Windows,F,2019,Yes
18103,Windows,F,2021,No
18104,Cloud,M,2019,Yes
18105,Android,F,2009,Yes
18106,DevOps,M,2021,Yes
18107,DevOps,F,2010,Yes
18108,Web,F,2015,No
18109,Cybersecurity,M,2011,No
18110,Cybersecurity,F,2017,Yes
18111,Cybersecurity,F,2010,Yes
18112,Machine Learning,F,2016,Yes
18113,Cybersecurity,Other,2015,No
18114,Android,M,2022,Yes
18115,IOS,Other,2009,No
18116,Machine Learning,M,2017,No
18117,Android,M,2011,Yes
18118,Web,Other,2014,No
18119,Cloud,M,2023,No
18120,Cloud,F,2012,Yes
18121,Android,F,2012,No
18122,Machine Learning,M,2018,No
18123,IOS,F,2008,No
18124,DevOps,M,2016,No
18125,Cloud,F,2010,No
18126,IOS,F,2009,Yes
18127,Web,Other,2015,Yes
18128,DevOps,M,2022,Yes
18129,Windows,M,2015,No
18130,IOS,Other,2008,No
18131,Android,F,2020,Yes
18132,Web,M,2016,No
18133,Web,F,2016,No
18134,Cybersecurity,M,2019,Yes
18135,Cloud,F,2022,No
18136,Cloud,Other,2009,Yes
18137,IOS,M,2012,Yes
18138,IOS,F,2023,Yes
18139,DevOps,F,2018,Yes
18140,Web,F,2020,Yes
18141,DevOps,M,2014,No
18142,Web,Other,2016,Yes
18143,Machine Learning,M,2008,Yes
18144,Android,M,2019,Yes
18145,Cybersecurity,F,2016,Yes
18146,IOS,F,2013,No
18147,Machine Learning,F,2011,No
18148,Android,F,2017,Yes
18149,Windows,F,2010,Yes
18150,Cloud,M,2022,No
18151,IOS,M,2010,No
18152,Cybersecurity,F,2013,No
18153,DevOps,M,2010,Yes
18154,IOS,F,2019,No
18155,Windows,F,2023,No
18156,IOS,F,2008,Yes
18157,Cloud,F,2014,No
18158,DevOps,F,2011,No
18159,Cloud,F,2009,No
18160,Android,M,2010,No
18161,Windows,F,2013,Yes
18162,Windows,M,2021,Yes
18163,Windows,M,2013,No
18164,Web,F,2023,No
18165,Machine Learning,M,2012,No
18166,Web,Other,2023,No
18167,Web,Other,2019,Yes
18168,DevOps,F,2020,No
18169,Windows,M,2011,No
18170,IOS,M,2013,No
18171,Cybersecurity,M,2012,Yes
18172,Android,M,2011,Yes
18173,Android,F,2016,No
18174,DevOps,F,2023,No
18175,Android,F,2020,Yes
18176,DevOps,F,2019,No
18177,Windows,F,2020,Yes
18178,IOS,M,2021,Yes
18179,Windows,F,2022,Yes
18180,Windows,Other,2011,Yes
18181,Cloud,M,2010,No
18182,Machine Learning,M,2022,No
18183,DevOps,Other,2009,No
18184,DevOps,Other,2016,Yes
18185,Cybersecurity,F,2013,No
18186,Machine Learning,F,2009,Yes
18187,Machine Learning,M,2015,Yes
18188,Cybersecurity,M,2009,No
18189,Cybersecurity,F,2018,Yes
18190,DevOps,M,2008,Yes
18191,Machine Learning,F,2009,Yes
18192,Android,F,2021,No
18193,Web,F,2011,No
18194,DevOps,Other,2009,No
18195,Windows,Other,2019,No
18196,Web,M,2021,Yes
18197,Cybersecurity,F,2019,Yes
18198,Android,Other,2016,No
18199,Cloud,M,2011,No
18200,Cloud,M,2023,No
18201,IOS,M,2018,Yes
18202,IOS,F,2016,Yes
18203,DevOps,F,2010,No
18204,Cybersecurity,F,2018,No
18205,Cybersecurity,Other,2019,Yes
18206,Web,Other,2019,Yes
18207,DevOps,F,2016,No
18208,Cloud,F,2015,No
18209,Cloud,M,2008,Yes
18210,Android,F,2023,No
18211,Cloud,M,2009,Yes
18212,Cybersecurity,F,2011,No
18213,Web,F,2023,Yes
18214,Cloud,F,2011,Yes
18215,Web,F,2009,Yes
18216,Android,F,2017,No
18217,Web,M,2010,No
18218,DevOps,M,2021,Yes
18219,Cybersecurity,F,2008,No
18220,Cloud,M,2016,Yes
18221,Cloud,F,2008,Yes
18222,Cybersecurity,M,2008,Yes
18223,Windows,M,2012,No
18224,IOS,F,2012,No
18225,Android,M,2017,No
18226,Web,F,2014,No
18227,Android,Other,2023,Yes
18228,Cybersecurity,M,2008,Yes
18229,DevOps,Other,2023,No
18230,Web,F,2014,No
18231,DevOps,M,2012,Yes
18232,Web,F,2022,No
18233,DevOps,Other,2019,Yes
18234,Machine Learning,F,2015,No
18235,Web,Other,2021,Yes
18236,Windows,F,2022,Yes
18237,DevOps,M,2019,Yes
18238,Machine Learning,F,2010,No
18239,IOS,F,2009,Yes
18240,DevOps,M,2011,No
18241,Android,F,2013,Yes
18242,IOS,F,2019,No
18243,Windows,F,2012,No
18244,Cybersecurity,F,2011,No
18245,IOS,F,2013,No
18246,Cloud,F,2013,Yes
18247,DevOps,F,2012,No
18248,Web,M,2017,No
18249,IOS,F,2010,No
18250,Android,F,2008,No
18251,Cybersecurity,F,2011,No
18252,Windows,Other,2018,No
18253,IOS,M,2010,No
18254,IOS,F,2008,No
18255,Cloud,F,2012,Yes
18256,Machine Learning,Other,2012,No
18257,Web,M,2020,No
18258,Web,M,2023,No
18259,Android,F,2022,Yes
18260,Web,F,2017,No
18261,Machine Learning,F,2013,Yes
18262,Windows,M,2023,Yes
18263,Web,F,2020,No
18264,IOS,M,2011,Yes
18265,Android,M,2017,Yes
18266,Cybersecurity,M,2020,Yes
18267,Web,M,2023,No
18268,Windows,M,2018,Yes
18269,Android,F,2013,Yes
18270,Web,Other,2017,Yes
18271,Machine Learning,M,2014,No
18272,Web,F,2023,Yes
18273,Machine Learning,M,2013,Yes
18274,DevOps,F,2020,No
18275,Cybersecurity,M,2017,Yes
18276,Android,M,2015,Yes
18277,DevOps,F,2014,Yes
18278,DevOps,F,2014,No
18279,Android,M,2013,Yes
18280,Cybersecurity,F,2023,No
18281,Android,F,2022,Yes
18282,Windows,F,2017,No
18283,Windows,Other,2009,No
18284,Web,F,2017,Yes
18285,Cloud,M,2008,No
18286,Cloud,M,2019,No
18287,Cybersecurity,F,2019,Yes
18288,Cybersecurity,M,2020,Yes
18289,Android,M,2013,No
18290,Cybersecurity,F,2010,Yes
18291,Cloud,F,2021,No
18292,IOS,M,2014,No
18293,Cybersecurity,M,2017,No
18294,Cloud,M,2015,Yes
18295,DevOps,M,2016,No
18296,DevOps,M,2017,Yes
18297,Android,M,2021,Yes
18298,Machine Learning,F,2016,No
18299,DevOps,M,2012,No
18300,Web,M,2013,Yes
18301,Android,F,2015,Yes
18302,Web,F,2015,No
18303,Web,Other,2022,No
18304,Cybersecurity,Other,2022,Yes
18305,Android,M,2009,Yes
18306,Windows,F,2013,No
18307,Web,M,2020,No
18308,Cybersecurity,F,2018,Yes
18309,Web,F,2008,Yes
18310,Cybersecurity,M,2017,Yes
18311,Windows,F,2021,No
18312,Web,F,2020,No
18313,Android,F,2012,Yes
18314,Web,F,2021,No
18315,DevOps,M,2015,No
18316,DevOps,M,2019,No
18317,IOS,M,2015,No
18318,IOS,F,2012,Yes
18319,Windows,Other,2021,Yes
18320,IOS,M,2020,Yes
18321,DevOps,M,2013,No
18322,Web,M,2015,No
18323,Android,F,2013,No
18324,Android,M,2012,No
18325,DevOps,M,2014,Yes
18326,Android,Other,2010,No
18327,IOS,M,2017,Yes
18328,Cybersecurity,F,2020,No
18329,IOS,M,2014,Yes
18330,DevOps,M,2018,No
18331,IOS,M,2008,No
18332,IOS,M,2008,Yes
18333,DevOps,F,2020,Yes
18334,Android,F,2014,Yes
18335,Machine Learning,Other,2010,No
18336,Cybersecurity,M,2008,Yes
18337,Cloud,F,2014,Yes
18338,Windows,F,2017,Yes
18339,DevOps,M,2021,No
18340,IOS,M,2010,Yes
18341,Windows,Other,2011,No
18342,Cloud,M,2010,Yes
18343,Machine Learning,Other,2021,No
18344,Android,F,2015,Yes
18345,Cybersecurity,F,2014,Yes
18346,DevOps,M,2009,No
18347,Cybersecurity,M,2011,No
18348,DevOps,F,2019,No
18349,Cybersecurity,M,2016,Yes
18350,Cloud,F,2018,Yes
18351,DevOps,M,2015,No
18352,Web,F,2023,No
18353,IOS,F,2019,Yes
18354,Android,M,2020,Yes
18355,Web,F,2021,Yes
18356,Machine Learning,F,2022,No
18357,Cloud,F,2021,Yes
18358,Machine Learning,F,2023,Yes
18359,DevOps,F,2015,No
18360,Android,M,2008,Yes
18361,Android,Other,2022,Yes
18362,Windows,F,2012,Yes
18363,Windows,M,2019,No
18364,Machine Learning,M,2017,No
18365,DevOps,F,2015,No
18366,Windows,M,2010,Yes
18367,Cybersecurity,M,2019,No
18368,Cybersecurity,M,2010,No
18369,DevOps,Other,2018,Yes
18370,Android,F,2013,Yes
18371,Web,F,2021,Yes
18372,IOS,F,2012,Yes
18373,DevOps,F,2008,No
18374,Cybersecurity,F,2018,No
18375,Machine Learning,F,2009,No
18376,Windows,F,2018,No
18377,Web,F,2015,Yes
18378,Windows,M,2011,Yes
18379,Web,F,2014,Yes
18380,DevOps,F,2021,No
18381,DevOps,Other,2011,Yes
18382,Cybersecurity,F,2023,Yes
18383,DevOps,F,2014,No
18384,IOS,F,2009,Yes
18385,Cloud,M,2013,No
18386,Android,M,2018,No
18387,Machine Learning,M,2018,Yes
18388,DevOps,F,2011,Yes
18389,Windows,M,2021,No
18390,Cybersecurity,F,2008,Yes
18391,Cloud,M,2015,No
18392,IOS,M,2013,Yes
18393,IOS,F,2014,No
18394,Android,M,2009,No
18395,DevOps,F,2008,No
18396,Machine Learning,M,2011,Yes
18397,IOS,Other,2013,No
18398,IOS,M,2016,Yes
18399,Cybersecurity,Other,2010,Yes
18400,Web,F,2014,Yes
18401,IOS,M,2013,Yes
18402,Cybersecurity,Other,2014,No
18403,Windows,M,2021,Yes
18404,Windows,F,2011,Yes
18405,Machine Learning,F,2019,Yes
18406,Web,M,2015,No
18407,Cloud,Other,2013,No
18408,Web,Other,2019,Yes
18409,IOS,M,2010,Yes
18410,Android,F,2017,Yes
18411,Machine Learning,M,2017,No
18412,IOS,M,2016,No
18413,Cloud,M,2014,Yes
18414,Cybersecurity,M,2023,Yes
18415,Web,M,2022,No
18416,Cloud,F,2008,No
18417,Machine Learning,F,2010,No
18418,Windows,M,2008,Yes
18419,DevOps,M,2014,Yes
18420,Windows,F,2015,No
18421,Machine Learning,F,2009,No
18422,Machine Learning,M,2014,No
18423,Machine Learning,F,2010,No
18424,Machine Learning,M,2013,Yes
18425,Web,M,2014,No
18426,DevOps,F,2012,No
18427,DevOps,F,2021,Yes
18428,Android,M,2012,No
18429,Cloud,M,2014,Yes
18430,DevOps,M,2009,Yes
18431,Cloud,F,2017,No
18432,Windows,F,2012,No
18433,Android,F,2012,No
18434,Web,M,2023,Yes
18435,Cybersecurity,M,2019,No
18436,Cybersecurity,M,2011,Yes
18437,IOS,M,2011,Yes
18438,Machine Learning,F,2010,Yes
18439,Cybersecurity,F,2012,Yes
18440,Cloud,F,2019,No
18441,Windows,M,2009,Yes
18442,Cloud,F,2019,No
18443,Android,Other,2008,No
18444,Web,F,2022,Yes
18445,IOS,F,2021,No
18446,Web,Other,2017,Yes
18447,Android,F,2018,No
18448,Cloud,F,2010,Yes
18449,Cloud,M,2012,No
18450,Cloud,M,2009,Yes
18451,Cloud,F,2014,No
18452,DevOps,Other,2009,No
18453,Cybersecurity,F,2020,No
18454,Web,Other,2016,Yes
18455,Cybersecurity,Other,2018,No
18456,Android,F,2016,No
18457,Cybersecurity,M,2020,Yes
18458,IOS,M,2023,Yes
18459,Android,F,2014,Yes
18460,Cybersecurity,M,2016,No
18461,DevOps,Other,2008,No
18462,Android,F,2022,Yes
18463,Cybersecurity,Other,2023,Yes
18464,Web,M,2013,Yes
18465,Machine Learning,F,2013,Yes
18466,Android,Other,2014,No
18467,Windows,F,2013,No
18468,Web,Other,2009,No
18469,Windows,F,2022,Yes
18470,Windows,M,2011,Yes
18471,Windows,M,2009,Yes
18472,Web,M,2016,No
18473,Android,M,2021,Yes
18474,Web,F,2010,Yes
18475,Cybersecurity,M,2019,Yes
18476,Windows,F,2016,No
18477,DevOps,M,2020,No
18478,DevOps,M,2022,Yes
18479,Windows,M,2009,No
18480,Android,M,2016,No
18481,IOS,M,2021,Yes
18482,Machine Learning,F,2021,No
18483,IOS,F,2012,Yes
18484,Android,F,2022,No
18485,Windows,M,2018,No
18486,Cybersecurity,Other,2015,Yes
18487,Cybersecurity,F,2020,Yes
18488,Machine Learning,F,2012,Yes
18489,DevOps,M,2017,Yes
18490,Web,Other,2011,No
18491,Web,F,2022,Yes
18492,IOS,Other,2020,No
18493,IOS,F,2018,Yes
18494,Web,M,2016,No
18495,Windows,M,2019,Yes
18496,Cybersecurity,M,2014,Yes
18497,IOS,M,2020,Yes
18498,Windows,F,2020,No
18499,Web,M,2022,Yes
18500,Windows,M,2011,No
18501,Cybersecurity,Other,2021,Yes
18502,Android,M,2015,No
18503,Cybersecurity,M,2020,No
18504,Cloud,Other,2020,No
18505,Android,Other,2016,Yes
18506,IOS,M,2009,Yes
18507,Cybersecurity,F,2022,Yes
18508,Android,F,2019,No
18509,Machine Learning,M,2019,No
18510,Cybersecurity,M,2008,Yes
18511,Machine Learning,Other,2018,No
18512,Windows,F,2008,Yes
18513,Android,M,2008,No
18514,Cloud,M,2020,No
18515,Android,Other,2023,Yes
18516,Android,F,2014,Yes
18517,Web,Other,2018,Yes
18518,Web,F,2018,Yes
18519,IOS,F,2011,Yes
18520,DevOps,M,2021,Yes
18521,Android,F,2009,Yes
18522,Cloud,F,2023,Yes
18523,Machine Learning,F,2013,Yes
18524,Android,M,2016,No
18525,DevOps,F,2011,No
18526,Cloud,M,2021,No
18527,Machine Learning,F,2019,No
18528,IOS,F,2009,Yes
18529,Cybersecurity,M,2013,Yes
18530,Cybersecurity,M,2015,Yes
18531,Cybersecurity,F,2019,Yes
18532,Cloud,M,2011,No
18533,DevOps,F,2017,No
18534,Web,F,2008,No
18535,Web,Other,2008,No
18536,IOS,M,2022,No
18537,IOS,F,2023,No
18538,Web,M,2023,Yes
18539,IOS,Other,2017,Yes
18540,Cloud,M,2015,No
18541,Cloud,M,2023,Yes
18542,Cybersecurity,Other,2014,Yes
18543,Machine Learning,F,2022,Yes
18544,Cybersecurity,M,2017,No
18545,Cybersecurity,M,2023,No
18546,DevOps,Other,2015,No
18547,Web,F,2008,Yes
18548,Android,M,2021,Yes
18549,Web,M,2022,Yes
18550,Android,M,2019,Yes
18551,Web,M,2010,No
18552,Cloud,F,2018,No
18553,DevOps,M,2019,Yes
18554,IOS,M,2011,Yes
18555,Windows,M,2014,Yes
18556,Windows,Other,2010,No
18557,Web,F,2020,Yes
18558,Machine Learning,M,2013,Yes
18559,Web,M,2014,Yes
18560,Cloud,M,2016,No
18561,Web,Other,2008,No
18562,IOS,M,2010,No
18563,IOS,Other,2014,No
18564,IOS,F,2020,Yes
18565,Cloud,M,2022,Yes
18566,Machine Learning,F,2021,No
18567,Web,M,2016,Yes
18568,IOS,F,2018,Yes
18569,IOS,F,2013,Yes
18570,Android,F,2018,No
18571,DevOps,M,2014,No
18572,IOS,F,2023,Yes
18573,Android,M,2022,No
18574,DevOps,M,2009,Yes
18575,Web,M,2010,Yes
18576,Android,M,2015,No
18577,Cybersecurity,M,2023,Yes
18578,Web,M,2018,Yes
18579,Android,Other,2009,Yes
18580,IOS,F,2012,Yes
18581,Windows,F,2010,No
18582,Cloud,F,2021,Yes
18583,Android,F,2022,No
18584,Cloud,M,2008,No
18585,Cybersecurity,F,2020,No
18586,IOS,M,2009,No
18587,Cybersecurity,F,2012,Yes
18588,Windows,M,2012,No
18589,Web,Other,2016,Yes
18590,Machine Learning,F,2009,Yes
18591,Cloud,M,2023,No
18592,Machine Learning,F,2010,Yes
18593,DevOps,M,2023,No
18594,Cybersecurity,F,2014,No
18595,Machine Learning,F,2010,No
18596,Android,F,2014,Yes
18597,Machine Learning,M,2020,Yes
18598,Cloud,F,2008,No
18599,Cybersecurity,Other,2018,No
18600,Cloud,F,2017,Yes
18601,IOS,M,2017,No
18602,Android,Other,2014,Yes
18603,Windows,F,2015,Yes
18604,Windows,F,2009,Yes
18605,DevOps,M,2021,Yes
18606,Machine Learning,M,2014,Yes
18607,Android,M,2012,No
18608,IOS,F,2011,Yes
18609,Cloud,M,2021,Yes
18610,DevOps,Other,2010,Yes
18611,DevOps,F,2012,Yes
18612,Web,M,2021,No
18613,Web,F,2011,Yes
18614,Machine Learning,F,2016,No
18615,Cybersecurity,F,2011,Yes
18616,Cloud,M,2011,No
18617,Machine Learning,F,2008,No
18618,Web,F,2008,No
18619,Android,F,2012,Yes
18620,Windows,M,2018,No
18621,Cybersecurity,Other,2018,No
18622,Android,F,2014,No
18623,IOS,M,2015,Yes
18624,Windows,Other,2017,Yes
18625,Web,F,2013,No
18626,Machine Learning,M,2017,No
18627,Windows,F,2013,Yes
18628,Machine Learning,F,2009,Yes
18629,IOS,Other,2013,No
18630,IOS,F,2023,No
18631,DevOps,F,2009,Yes
18632,Android,Other,2011,Yes
18633,IOS,M,2016,No
18634,Machine Learning,Other,2013,Yes
18635,Windows,F,2017,No
18636,Web,F,2014,No
18637,Web,M,2009,Yes
18638,DevOps,F,2023,Yes
18639,Android,M,2009,No
18640,Web,F,2016,No
18641,Windows,F,2021,No
18642,Web,M,2015,No
18643,Cybersecurity,M,2021,No
18644,IOS,F,2019,No
18645,DevOps,F,2013,No
18646,Web,M,2018,No
18647,Cloud,M,2019,Yes
18648,Windows,Other,2009,Yes
18649,DevOps,M,2017,Yes
18650,DevOps,M,2014,No
18651,IOS,M,2008,Yes
18652,Web,F,2023,Yes
18653,Machine Learning,F,2009,No
18654,Web,M,2013,No
18655,DevOps,F,2021,No
18656,DevOps,F,2013,Yes
18657,IOS,F,2022,No
18658,Windows,M,2008,Yes
18659,Machine Learning,F,2013,Yes
18660,Cybersecurity,M,2009,No
18661,Cloud,M,2020,Yes
18662,Machine Learning,M,2008,No
18663,Machine Learning,Other,2018,No
18664,Machine Learning,F,2013,Yes
18665,DevOps,Other,2021,No
18666,IOS,M,2023,Yes
18667,Android,Other,2008,Yes
18668,DevOps,F,2014,No
18669,Machine Learning,Other,2020,No
18670,Machine Learning,M,2014,No
18671,Android,F,2017,No
18672,Android,F,2015,No
18673,DevOps,F,2015,No
18674,Cybersecurity,Other,2022,Yes
18675,Web,M,2014,No
18676,Android,F,2013,No
18677,DevOps,F,2018,Yes
18678,IOS,M,2014,No
18679,Machine Learning,F,2013,No
18680,Windows,Other,2016,Yes
18681,Android,F,2020,Yes
18682,Web,Other,2021,Yes
18683,Cloud,F,2012,Yes
18684,Android,F,2014,Yes
18685,Cloud,F,2016,Yes
18686,DevOps,F,2021,No
18687,Cybersecurity,F,2009,No
18688,DevOps,F,2013,Yes
18689,Cloud,Other,2023,No
18690,IOS,M,2009,No
18691,Web,M,2014,Yes
18692,Machine Learning,M,2020,Yes
18693,Cybersecurity,M,2019,No
18694,DevOps,Other,2023,Yes
18695,IOS,F,2008,Yes
18696,DevOps,M,2023,No
18697,Android,M,2023,No
18698,Android,F,2008,Yes
18699,Web,M,2017,Yes
18700,Web,F,2009,Yes
18701,Android,Other,2016,Yes
18702,Web,M,2009,Yes
18703,Windows,F,2020,No
18704,Cloud,F,2013,No
18705,IOS,Other,2017,Yes
18706,Cybersecurity,F,2021,Yes
18707,IOS,F,2020,Yes
18708,Android,F,2021,No
18709,Web,F,2019,Yes
18710,Machine Learning,F,2018,No
18711,Windows,Other,2018,Yes
18712,Web,M,2019,Yes
18713,DevOps,M,2018,No
18714,Web,M,2013,No
18715,Android,M,2008,Yes
18716,DevOps,M,2011,Yes
18717,IOS,Other,2013,No
18718,IOS,M,2019,No
18719,Windows,M,2012,No
18720,DevOps,M,2008,No
18721,Web,Other,2020,Yes
18722,Machine Learning,M,2008,No
18723,Web,M,2009,Yes
18724,Android,M,2021,Yes
18725,Android,F,2017,No
18726,IOS,F,2019,Yes
18727,Web,F,2009,Yes
18728,Cybersecurity,M,2014,No
18729,Android,M,2019,Yes
18730,Cloud,F,2021,Yes
18731,Machine Learning,F,2010,No
18732,Cybersecurity,F,2020,Yes
18733,Web,F,2013,Yes
18734,Cybersecurity,F,2011,No
18735,Web,F,2009,Yes
18736,Android,M,2010,Yes
18737,Machine Learning,F,2020,Yes
18738,DevOps,F,2008,No
18739,Web,F,2018,Yes
18740,Android,Other,2021,Yes
18741,Machine Learning,F,2010,Yes
18742,DevOps,F,2016,Yes
18743,Machine Learning,F,2019,Yes
18744,IOS,Other,2012,Yes
18745,Cloud,Other,2009,Yes
18746,Web,Other,2020,Yes
18747,Cybersecurity,F,2012,No
18748,Windows,F,2016,Yes
18749,Cloud,F,2013,Yes
18750,Machine Learning,F,2014,No
18751,Cybersecurity,F,2019,No
18752,Cybersecurity,M,2016,Yes
18753,Cloud,F,2013,Yes
18754,Machine Learning,F,2017,Yes
18755,Cloud,M,2015,Yes
18756,Windows,F,2015,Yes
18757,Web,M,2020,Yes
18758,Machine Learning,F,2017,No
18759,Windows,M,2023,No
18760,Cloud,F,2017,Yes
18761,Cybersecurity,Other,2012,No
18762,Android,F,2020,No
18763,Android,M,2017,No
18764,IOS,F,2017,No
18765,Windows,F,2011,Yes
18766,Cybersecurity,F,2016,No
18767,Web,F,2020,Yes
18768,Cybersecurity,F,2022,Yes
18769,Cybersecurity,M,2019,Yes
18770,Cybersecurity,M,2018,No
18771,Machine Learning,M,2011,Yes
18772,Machine Learning,F,2014,Yes
18773,Cybersecurity,F,2019,Yes
18774,Machine Learning,F,2009,Yes
18775,Web,F,2016,Yes
18776,Android,M,2008,No
18777,DevOps,M,2013,No
18778,DevOps,F,2017,Yes
18779,DevOps,F,2023,Yes
18780,IOS,Other,2010,Yes
18781,Android,F,2008,Yes
18782,Cybersecurity,F,2012,No
18783,Machine Learning,F,2020,No
18784,Cloud,M,2008,Yes
18785,Android,M,2013,No
18786,Windows,F,2011,No
18787,DevOps,M,2014,Yes
18788,Machine Learning,M,2011,No
18789,Web,F,2016,No
18790,Android,F,2009,Yes
18791,IOS,F,2009,Yes
18792,Android,F,2023,No
18793,IOS,F,2021,Yes
18794,Android,F,2015,Yes
18795,DevOps,M,2014,Yes
18796,Cybersecurity,M,2013,Yes
18797,Machine Learning,M,2021,Yes
18798,Android,F,2022,No
18799,DevOps,Other,2016,No
18800,Cybersecurity,M,2012,No
18801,DevOps,M,2008,No
18802,Windows,Other,2008,Yes
18803,IOS,F,2009,No
18804,Android,M,2022,Yes
18805,Machine Learning,M,2011,Yes
18806,Cybersecurity,M,2008,No
18807,Cloud,Other,2023,No
18808,Machine Learning,Other,2011,No
18809,DevOps,F,2018,Yes
18810,Android,Other,2022,No
18811,Web,M,2016,No
18812,Machine Learning,M,2017,Yes
18813,Web,F,2023,No
18814,Machine Learning,M,2009,Yes
18815,Web,M,2011,No
18816,Android,F,2018,No
18817,Cybersecurity,M,2021,Yes
18818,IOS,M,2023,Yes
18819,DevOps,M,2019,No
18820,Web,F,2011,No
18821,Cloud,M,2018,No
18822,Web,F,2021,No
18823,Cybersecurity,Other,2008,Yes
18824,Android,M,2020,No
18825,IOS,M,2009,No
18826,IOS,Other,2022,No
18827,Android,F,2018,Yes
18828,IOS,F,2014,Yes
18829,Cybersecurity,F,2019,Yes
18830,Cloud,F,2016,No
18831,DevOps,F,2023,Yes
18832,Cloud,M,2008,No
18833,Android,F,2018,No
18834,Cloud,F,2009,No
18835,DevOps,M,2009,No
18836,Machine Learning,M,2020,Yes
18837,Web,M,2022,No
18838,Cybersecurity,F,2020,No
18839,Android,Other,2021,Yes
18840,Cybersecurity,M,2019,No
18841,Cloud,F,2021,No
18842,Android,F,2022,No
18843,DevOps,F,2012,No
18844,Cloud,Other,2014,No
