id,page_type,year_established,country
12069,company,2008,Bosnia Herzegovina
12070,company,2013,Tunisia
12071,company,2004,Slovakia
12072,government,2019,Italy
12073,company,2017,Micronesia
12074,company,2018,Ethiopia
12075,politician,2022,Suriname
12076,tvshow,2020,Kiribati
12077,government,2003,Samoa
12078,tvshow,2008,Bolivia
12079,company,2023,Costa Rica
12080,tvshow,2003,Taiwan
12081,government,2007,Djibouti
12082,company,2011,Uzbekistan
12083,company,2023,Mexico
12084,government,2018,Australia
12085,company,2023,Brazil
12086,politician,2013,Bangladesh
12087,government,2014,Sao Tome & Principe
12088,government,2010,Brazil
12089,company,2004,Saint Vincent & the Grenadines
12090,company,2003,Korea South
12091,company,2007,Germany
12092,government,2014,Paraguay
12093,government,2023,Somalia
12094,tvshow,2014,Nauru
12095,government,2018,Guatemala
12096,company,2005,Armenia
12097,company,2019,Bhutan
12098,government,2006,Nauru
12099,company,2021,Uzbekistan
12100,government,2005,Guatemala
12101,politician,2018,Barbados
12102,government,2020,Hungary
12103,company,2014,Belgium
12104,government,2010,Mexico
12105,politician,2004,Malaysia
12106,politician,2016,Mauritius
12107,tvshow,2008,Thailand
12108,company,2012,Tajikistan
12109,government,2003,Canada
12110,company,2006,Uzbekistan
12111,politician,2004,St Kitts & Nevis
12112,politician,2014,Australia
12113,government,2005,Zambia
12114,company,2004,Ivory Coast
12115,politician,2018,Italy
12116,politician,2012,Guyana
12117,company,2012,Mali
12118,government,2018,Sierra Leone
12119,company,2018,Vanuatu
12120,tvshow,2017,Hungary
12121,politician,2010,Bangladesh
12122,politician,2017,China
12123,company,2015,Sudan
12124,politician,2023,Montenegro
12125,company,2004,Liberia
12126,company,2017,Guatemala
12127,company,2009,Turkey
12128,tvshow,2012,Liechtenstein
12129,company,2005,St Lucia
12130,politician,2020,Indonesia
12131,politician,2018,Portugal
12132,company,2015,Iraq
12133,company,2019,Israel
12134,politician,2006,Central African Rep
12135,government,2021,Kuwait
12136,government,2016,Mexico
12137,tvshow,2015,Monaco
12138,tvshow,2018,Hungary
12139,company,2020,Colombia
12140,politician,2018,Swaziland
12141,government,2014,Hungary
12142,government,2005,Fiji
12143,government,2021,Ireland
12144,government,2003,Haiti
12145,company,2013,Sao Tome & Principe
12146,tvshow,2019,El Salvador
12147,government,2011,Morocco
12148,company,2012,Saudi Arabia
12149,tvshow,2011,Moldova
12150,government,2014,Slovakia
12151,government,2014,Laos
12152,government,2013,Iran
12153,government,2002,Barbados
12154,government,2010,Sierra Leone
12155,government,2018,Andorra
12156,company,2016,Togo
12157,government,2023,Guyana
12158,tvshow,2016,Dominican Republic
12159,company,2016,Jordan
12160,politician,2003,Hungary
12161,politician,2013,Egypt
12162,government,2022,Ecuador
12163,politician,2017,Panama
12164,company,2014,France
12165,company,2018,France
12166,politician,2021,Cyprus
12167,government,2012,Ecuador
12168,politician,2002,Nicaragua
12169,government,2004,Liechtenstein
12170,company,2009,Slovenia
12171,politician,2021,East Timor
12172,company,2021,Bahrain
12173,company,2009,Russian Federation
12174,tvshow,2018,Djibouti
12175,government,2003,Cambodia
12176,government,2010,Hungary
12177,politician,2016,Canada
12178,government,2003,Lebanon
12179,tvshow,2010,Kenya
12180,politician,2003,Togo
12181,tvshow,2009,Slovakia
12182,government,2006,Tunisia
12183,government,2021,Bangladesh
12184,company,2009,Spain
12185,government,2002,Azerbaijan
12186,politician,2015,Myanmar
12187,government,2003,East Timor
12188,government,2021,South Sudan
12189,government,2020,Ireland
12190,government,2014,Kazakhstan
12191,company,2017,Norway
12192,tvshow,2012,Mauritius
12193,government,2007,Benin
12194,tvshow,2020,Uzbekistan
12195,company,2012,Ivory Coast
12196,government,2023,India
12197,company,2004,Korea North
12198,tvshow,2009,Thailand
12199,politician,2012,Burkina
12200,politician,2013,Chad
12201,company,2014,Burkina
12202,politician,2018,Jordan
12203,company,2004,Tuvalu
12204,company,2020,Cape Verde
12205,company,2022,Uruguay
12206,government,2004,Oman
12207,company,2007,Australia
12208,politician,2014,Kiribati
12209,government,2009,Uzbekistan
12210,politician,2013,United Kingdom
12211,government,2010,Zimbabwe
12212,politician,2014,Antigua & Deps
12213,government,2021,Cameroon
12214,government,2003,Switzerland
12215,politician,2013,Tuvalu
12216,politician,2018,Trinidad & Tobago
12217,tvshow,2002,Serbia
12218,government,2014,Grenada
12219,government,2015,Ethiopia
12220,company,2022,Lebanon
12221,government,2003,China
12222,politician,2016,Comoros
12223,company,2007,Argentina
12224,government,2002,Grenada
12225,government,2006,Bahrain
12226,government,2005,Malta
12227,politician,2017,Cuba
12228,politician,2020,Bahrain
12229,company,2015,Bhutan
12230,politician,2013,Mauritania
12231,government,2021,St Kitts & Nevis
12232,tvshow,2019,Croatia
12233,politician,2012,Cameroon
12234,politician,2016,Japan
12235,tvshow,2012,Mongolia
12236,company,2002,Turkmenistan
12237,tvshow,2017,Spain
12238,government,2013,Haiti
12239,politician,2017,Netherlands
12240,company,2006,Liechtenstein
12241,tvshow,2006,Solomon Islands
12242,government,2018,Zambia
12243,government,2017,Nauru
12244,tvshow,2008,Luxembourg
12245,company,2010,China
12246,politician,2002,San Marino
12247,government,2014,Nepal
12248,politician,2014,Ukraine
12249,government,2019,Korea North
12250,politician,2006,Guyana
12251,company,2022,Bulgaria
12252,tvshow,2022,Kiribati
12253,tvshow,2016,Malta
12254,government,2023,Spain
12255,tvshow,2002,Canada
12256,government,2022,Tajikistan
12257,tvshow,2004,Dominican Republic
12258,company,2006,Dominican Republic
12259,politician,2023,Montenegro
12260,politician,2009,Malawi
12261,politician,2012,Thailand
12262,politician,2003,Slovenia
12263,company,2005,China
12264,company,2014,Cameroon
12265,tvshow,2022,Grenada
12266,politician,2023,Nigeria
12267,politician,2005,Bhutan
12268,government,2019,Botswana
12269,government,2004,Argentina
12270,company,2006,Kuwait
12271,government,2023,Pakistan
12272,government,2015,Uruguay
12273,tvshow,2021,Kuwait
12274,politician,2002,Congo 
12275,tvshow,2011,Korea North
12276,government,2019,Afghanistan
12277,politician,2018,Montenegro
12278,politician,2015,Montenegro
12279,tvshow,2018,Uzbekistan
12280,government,2018,Senegal
12281,politician,2007,Senegal
12282,company,2005,Switzerland
12283,government,2005,Paraguay
12284,politician,2009,Panama
12285,company,2016,Iran
12286,politician,2015,Papua New Guinea
12287,company,2011,El Salvador
12288,government,2003,Laos
12289,government,2016,Lithuania
12290,politician,2015,Japan
12291,company,2018,Nicaragua
12292,government,2022,India
12293,company,2010,Benin
12294,company,2009,Liechtenstein
12295,politician,2008,Eritrea
12296,politician,2006,Qatar
12297,politician,2016,Saudi Arabia
12298,government,2004,Comoros
12299,tvshow,2008,Mexico
12300,politician,2015,Belize
12301,tvshow,2022,Cambodia
12302,company,2020,Cape Verde
12303,company,2016,Guinea
12304,government,2006,Micronesia
12305,company,2007,United Kingdom
12306,company,2015,Austria
12307,company,2002,Bahamas
12308,politician,2003,Mali
12309,politician,2020,Saint Vincent & the Grenadines
12310,politician,2003,Gabon
12311,company,2019,China
12312,tvshow,2003,Malaysia
12313,government,2014,Seychelles
12314,government,2012,Uzbekistan
12315,government,2004,St Lucia
12316,company,2005,Burkina
12317,company,2020,Djibouti
12318,tvshow,2022,Belgium
12319,tvshow,2003,Nicaragua
12320,politician,2007,Andorra
12321,politician,2007,Romania
12322,politician,2003,Palau
12323,company,2020,Mauritius
12324,government,2004,Cuba
12325,government,2011,El Salvador
12326,tvshow,2011,Macedonia
12327,company,2016,Comoros
12328,company,2009,Uruguay
12329,tvshow,2023,Zambia
12330,politician,2007,Solomon Islands
12331,politician,2011,Lebanon
12332,government,2019,Dominican Republic
12333,government,2002,Tunisia
12334,company,2006,Fiji
12335,tvshow,2013,China
12336,politician,2010,Eritrea
12337,government,2019,Singapore
12338,tvshow,2016,Botswana
12339,company,2004,Mexico
12340,politician,2003,China
12341,government,2004,Mongolia
12342,tvshow,2008,Mexico
12343,company,2005,Andorra
12344,politician,2016,Eritrea
12345,company,2008,Lebanon
12346,government,2007,Mongolia
12347,government,2010,Cyprus
12348,government,2012,Somalia
12349,government,2008,Albania
12350,politician,2022,Bhutan
12351,company,2020,Iceland
12352,tvshow,2004,El Salvador
12353,government,2023,Benin
12354,company,2021,Monaco
12355,company,2013,Jordan
12356,company,2019,Croatia
12357,government,2002,Marshall Islands
12358,government,2017,Antigua & Deps
12359,company,2022,Liechtenstein
12360,company,2021,Romania
12361,politician,2016,Malawi
12362,company,2003,Finland
12363,politician,2012,Netherlands
12364,tvshow,2010,Norway
12365,company,2005,Namibia
12366,company,2017,Albania
12367,company,2011,Pakistan
12368,tvshow,2016,Mozambique
12369,company,2004,Saudi Arabia
12370,politician,2020,Nicaragua
12371,government,2012,Korea South
12372,government,2018,Djibouti
12373,company,2015,Eritrea
12374,company,2019,Philippines
12375,government,2022,United States
12376,company,2018,Sri Lanka
12377,company,2018,Bahamas
12378,company,2016,Cape Verde
12379,company,2007,Dominica
12380,company,2014,Qatar
12381,tvshow,2020,Uganda
12382,company,2021,Lithuania
12383,tvshow,2010,Tonga
12384,company,2012,Norway
12385,company,2006,Monaco
12386,government,2013,Cape Verde
12387,tvshow,2011,South Sudan
12388,politician,2004,Paraguay
12389,politician,2002,Ukraine
12390,company,2017,Zambia
12391,politician,2004,Luxembourg
12392,company,2020,Cameroon
12393,tvshow,2004,Argentina
12394,government,2003,Belize
12395,government,2006,Honduras
12396,company,2009,Djibouti
12397,government,2017,Tanzania
12398,company,2017,Peru
12399,company,2014,Qatar
12400,company,2008,Philippines
12401,company,2004,Micronesia
12402,politician,2014,Guyana
12403,government,2009,San Marino
12404,politician,2019,Nepal
12405,government,2018,Canada
12406,politician,2019,Macedonia
12407,government,2006,Russian Federation
12408,government,2021,Micronesia
12409,government,2015,Malawi
12410,company,2020,Central African Rep
12411,government,2003,Honduras
12412,politician,2022,Algeria
12413,government,2019,Sierra Leone
12414,company,2003,Laos
12415,company,2007,Sweden
12416,government,2019,Papua New Guinea
12417,company,2012,Bolivia
12418,government,2002,Bolivia
12419,government,2020,Mozambique
12420,politician,2014,Serbia
12421,government,2021,Benin
12422,company,2016,Israel
12423,company,2010,Monaco
12424,politician,2022,Iran
12425,tvshow,2009,Vatican City
12426,company,2002,Colombia
12427,politician,2009,Maldives
12428,government,2011,Uzbekistan
12429,company,2008,Iceland
12430,tvshow,2021,Palau
12431,company,2005,Panama
12432,politician,2010,Kiribati
12433,tvshow,2016,Congo 
12434,government,2007,Slovenia
12435,company,2023,Laos
12436,tvshow,2012,Cyprus
12437,government,2006,Costa Rica
12438,company,2020,Mexico
12439,company,2017,Nicaragua
12440,government,2021,Sao Tome & Principe
12441,government,2004,Austria
12442,company,2002,Peru
12443,government,2002,India
12444,politician,2006,Malaysia
12445,government,2014,Fiji
12446,government,2007,Bolivia
12447,politician,2002,Kazakhstan
12448,government,2015,Japan
12449,tvshow,2023,Denmark
12450,government,2016,Russian Federation
12451,company,2009,Bosnia Herzegovina
12452,government,2017,Libya
12453,tvshow,2013,Algeria
12454,government,2022,Norway
12455,government,2003,South Africa
12456,government,2016,Monaco
12457,politician,2015,Swaziland
12458,government,2010,Italy
12459,government,2012,Algeria
12460,politician,2010,Zimbabwe
12461,government,2010,Tonga
12462,government,2020,Morocco
12463,politician,2012,Samoa
12464,government,2019,Belize
12465,government,2004,Marshall Islands
12466,company,2021,Jordan
12467,company,2004,Belarus
12468,government,2014,Seychelles
12469,government,2020,Lebanon
12470,government,2022,Ecuador
12471,company,2012,Taiwan
12472,politician,2006,Azerbaijan
12473,government,2008,Poland
12474,tvshow,2007,Gabon
12475,government,2018,Barbados
12476,government,2006,Finland
12477,government,2017,Brunei
12478,government,2016,Kazakhstan
12479,politician,2002,Sierra Leone
12480,politician,2009,Serbia
12481,tvshow,2015,Saudi Arabia
12482,politician,2003,Tuvalu
12483,politician,2019,India
12484,tvshow,2002,Cambodia
12485,government,2023,Costa Rica
12486,company,2002,San Marino
12487,politician,2014,Uzbekistan
12488,tvshow,2019,Sao Tome & Principe
12489,government,2009,Niger
12490,government,2008,Slovakia
12491,company,2013,Saint Vincent & the Grenadines
12492,politician,2020,Vatican City
12493,politician,2013,Namibia
12494,politician,2008,Bosnia Herzegovina
12495,government,2005,St Lucia
12496,government,2018,Jamaica
12497,company,2023,Bhutan
12498,politician,2004,Armenia
12499,government,2020,Honduras
12500,government,2006,Mongolia
12501,tvshow,2010,Marshall Islands
12502,politician,2018,Suriname
12503,government,2006,Georgia
12504,government,2002,Liberia
12505,company,2007,Belarus
12506,company,2013,Angola
12507,politician,2005,Nigeria
12508,politician,2018,Bahrain
12509,company,2002,Macedonia
12510,government,2012,Haiti
12511,politician,2019,Malaysia
12512,politician,2007,Comoros
12513,politician,2019,Brunei
12514,tvshow,2015,Singapore
12515,company,2012,Lesotho
12516,government,2015,Barbados
12517,tvshow,2019,St Lucia
12518,tvshow,2022,Bahamas
12519,tvshow,2013,Kazakhstan
12520,government,2016,Guinea-Bissau
12521,company,2007,Bulgaria
12522,politician,2008,Bahamas
12523,government,2005,Togo
12524,government,2021,El Salvador
12525,politician,2009,St Kitts & Nevis
12526,company,2020,Vietnam
12527,government,2010,Italy
12528,politician,2010,Antigua & Deps
12529,company,2013,Indonesia
12530,politician,2023,Sri Lanka
12531,government,2014,Kenya
12532,tvshow,2006,Ivory Coast
12533,politician,2003,Ghana
12534,government,2021,Belgium
12535,company,2005,Portugal
12536,politician,2016,Korea North
12537,company,2012,Austria
12538,company,2023,Macedonia
12539,company,2008,Saint Vincent & the Grenadines
12540,tvshow,2017,San Marino
12541,politician,2013,Iran
12542,politician,2007,Antigua & Deps
12543,government,2013,Iceland
12544,government,2018,Myanmar
12545,company,2007,Dominica
12546,tvshow,2014,Germany
12547,government,2002,Turkey
12548,government,2023,Namibia
12549,company,2010,Micronesia
12550,company,2022,Panama
12551,tvshow,2015,Denmark
12552,politician,2005,Cambodia
12553,government,2002,Paraguay
12554,tvshow,2019,Georgia
12555,politician,2013,Malaysia
12556,company,2005,Norway
12557,company,2010,Turkey
12558,government,2002,Ecuador
12559,government,2005,Costa Rica
12560,company,2014,Iran
12561,company,2005,United Kingdom
12562,company,2018,Yemen
12563,government,2017,United Kingdom
12564,company,2009,France
12565,tvshow,2017,Indonesia
12566,tvshow,2012,Yemen
12567,company,2006,Sudan
12568,government,2004,Congo 
12569,tvshow,2018,Slovenia
12570,company,2017,Japan
12571,company,2004,Saint Vincent & the Grenadines
12572,company,2016,Tonga
12573,company,2015,Pakistan
12574,government,2015,Taiwan
12575,politician,2023,Bosnia Herzegovina
12576,government,2022,Korea South
12577,tvshow,2017,Albania
12578,company,2002,Portugal
12579,politician,2004,Lesotho
12580,company,2017,Malta
12581,government,2020,Romania
12582,company,2005,Chad
12583,politician,2009,Estonia
12584,politician,2017,Mexico
12585,politician,2023,China
12586,politician,2016,Canada
12587,politician,2003,Switzerland
12588,company,2022,Czech Republic
12589,politician,2015,Sri Lanka
12590,politician,2016,Central African Rep
12591,company,2009,Iceland
12592,tvshow,2004,Uzbekistan
12593,politician,2022,Cameroon
12594,company,2018,United Arab Emirates
12595,company,2014,Venezuela
12596,company,2003,Algeria
12597,tvshow,2012,Barbados
12598,government,2022,Egypt
12599,government,2007,Jamaica
12600,government,2003,Sao Tome & Principe
12601,company,2013,Kiribati
12602,tvshow,2007,Lithuania
12603,government,2016,Denmark
12604,company,2008,Yemen
12605,government,2020,Honduras
12606,politician,2008,Italy
12607,tvshow,2002,Nigeria
12608,company,2012,Sao Tome & Principe
12609,government,2006,Trinidad & Tobago
12610,politician,2010,Azerbaijan
12611,politician,2005,Micronesia
12612,tvshow,2010,Micronesia
12613,government,2023,Georgia
12614,politician,2017,Benin
12615,politician,2023,Armenia
12616,politician,2022,Greece
12617,politician,2020,Belarus
12618,politician,2012,Turkey
12619,politician,2020,Latvia
12620,company,2011,Honduras
12621,government,2011,Denmark
12622,government,2003,Luxembourg
12623,company,2016,Korea South
12624,politician,2015,Vanuatu
12625,politician,2013,Congo
12626,politician,2022,Bangladesh
12627,company,2020,Cyprus
12628,company,2015,Gambia
12629,government,2011,Tuvalu
12630,government,2003,Grenada
12631,tvshow,2023,East Timor
12632,company,2016,Barbados
12633,government,2014,Laos
12634,company,2014,Chile
12635,company,2013,Mexico
12636,government,2002,St Kitts & Nevis
12637,politician,2023,Honduras
12638,government,2020,St Kitts & Nevis
12639,government,2006,Bulgaria
12640,politician,2016,Guatemala
12641,government,2019,Eritrea
12642,government,2009,Zimbabwe
12643,government,2019,Belarus
12644,company,2003,Burkina
12645,politician,2023,Uruguay
12646,government,2003,Brazil
12647,politician,2008,Lithuania
12648,government,2016,Morocco
12649,company,2005,Montenegro
12650,tvshow,2021,Oman
12651,politician,2018,Italy
12652,tvshow,2014,Chad
12653,politician,2012,Sri Lanka
12654,government,2006,United Arab Emirates
12655,government,2017,Kiribati
12656,government,2002,Mauritania
12657,company,2009,Kuwait
12658,government,2020,Jamaica
12659,company,2021,Philippines
12660,company,2012,East Timor
12661,tvshow,2004,Cambodia
12662,politician,2005,Macedonia
12663,politician,2003,Belarus
12664,tvshow,2007,Ivory Coast
12665,government,2012,Tuvalu
12666,government,2019,Maldives
12667,company,2004,Mongolia
12668,company,2019,Slovakia
12669,politician,2018,Indonesia
12670,company,2005,Kosovo
12671,government,2007,Monaco
12672,politician,2016,Slovenia
12673,politician,2011,Mongolia
12674,government,2005,Zimbabwe
12675,politician,2014,Marshall Islands
12676,company,2023,Japan
12677,company,2005,Macedonia
12678,government,2007,Honduras
12679,politician,2006,Oman
12680,politician,2018,India
12681,politician,2009,Turkey
12682,government,2010,San Marino
12683,company,2020,Spain
12684,company,2018,Panama
12685,tvshow,2019,Korea North
12686,government,2015,Italy
12687,company,2002,Senegal
12688,company,2006,Jordan
12689,politician,2010,Benin
12690,politician,2004,Syria
12691,politician,2008,Malawi
12692,politician,2014,Oman
12693,politician,2003,Sao Tome & Principe
12694,government,2023,Haiti
12695,politician,2017,Dominican Republic
12696,government,2021,Mauritius
12697,tvshow,2021,Denmark
12698,government,2004,Jordan
12699,tvshow,2021,Austria
12700,company,2020,Taiwan
12701,government,2023,Lithuania
12702,company,2009,Malaysia
12703,government,2018,Montenegro
12704,government,2022,Tonga
12705,politician,2015,Saudi Arabia
12706,government,2004,Senegal
12707,company,2003,Saudi Arabia
12708,company,2022,Israel
12709,company,2014,Korea North
12710,politician,2017,Niger
12711,politician,2023,Suriname
12712,politician,2018,Russian Federation
12713,company,2018,Syria
12714,government,2012,Bahrain
12715,tvshow,2008,Macedonia
12716,politician,2008,Belize
12717,company,2011,Trinidad & Tobago
12718,government,2006,United Kingdom
12719,company,2004,Seychelles
12720,government,2004,Bosnia Herzegovina
12721,company,2016,Mali
12722,government,2017,South Sudan
12723,government,2004,Madagascar
12724,company,2005,Lebanon
12725,company,2020,Cameroon
12726,tvshow,2002,Pakistan
12727,company,2004,Armenia
12728,politician,2007,Denmark
12729,politician,2003,Angola
12730,government,2016,St Lucia
12731,company,2010,Austria
12732,company,2022,Andorra
12733,government,2022,United Arab Emirates
12734,company,2022,Mauritania
12735,company,2004,United Kingdom
12736,company,2019,Pakistan
12737,politician,2022,Ivory Coast
12738,politician,2010,United Kingdom
12739,politician,2002,Paraguay
12740,government,2011,Germany
12741,company,2021,Albania
12742,politician,2007,China
12743,company,2014,Guinea-Bissau
12744,tvshow,2015,Peru
12745,tvshow,2019,Peru
12746,company,2005,Kiribati
12747,politician,2013,Congo
12748,tvshow,2010,Macedonia
12749,tvshow,2019,Somalia
12750,government,2018,Indonesia
12751,company,2012,Australia
12752,company,2003,Afghanistan
12753,government,2015,Moldova
12754,tvshow,2008,Trinidad & Tobago
12755,politician,2023,Romania
12756,government,2008,Congo
12757,company,2002,Belgium
12758,government,2012,Andorra
12759,company,2010,Norway
12760,government,2016,Romania
12761,government,2004,Mauritius
12762,government,2002,Ethiopia
12763,politician,2008,United Kingdom
12764,government,2004,Tonga
12765,company,2011,Syria
12766,tvshow,2014,Serbia
12767,company,2017,Tajikistan
12768,government,2022,Seychelles
12769,politician,2005,Kyrgyzstan
12770,tvshow,2003,Colombia
12771,politician,2011,Korea North
12772,politician,2013,Burkina
12773,company,2002,El Salvador
12774,tvshow,2010,Colombia
12775,company,2023,Montenegro
12776,politician,2015,Djibouti
12777,politician,2021,Nepal
12778,politician,2018,Morocco
12779,tvshow,2015,Laos
12780,government,2017,Poland
12781,company,2003,Netherlands
12782,politician,2008,Ireland
12783,politician,2009,Morocco
12784,company,2011,Qatar
12785,government,2003,Nigeria
12786,politician,2011,Oman
12787,government,2023,Singapore
12788,politician,2013,Pakistan
12789,government,2022,Cambodia
12790,company,2018,Togo
12791,company,2018,Rwanda
12792,company,2008,Norway
12793,company,2021,Slovakia
12794,tvshow,2014,United Arab Emirates
12795,tvshow,2006,Croatia
12796,company,2008,Romania
12797,tvshow,2005,Eritrea
12798,company,2018,Nicaragua
12799,government,2003,Marshall Islands
12800,company,2011,Syria
12801,company,2019,Paraguay
12802,tvshow,2010,Korea North
12803,government,2019,Iceland
12804,politician,2021,Malta
12805,company,2003,Niger
12806,politician,2004,Jordan
12807,government,2012,Belize
12808,politician,2017,Eritrea
12809,company,2008,Eritrea
12810,politician,2014,Cameroon
12811,tvshow,2022,Chile
12812,tvshow,2021,Andorra
12813,government,2023,Macedonia
12814,company,2010,Djibouti
12815,politician,2006,United Arab Emirates
12816,government,2007,Zambia
12817,government,2010,Ghana
12818,company,2002,Ghana
12819,company,2006,Ivory Coast
12820,politician,2023,Belarus
12821,politician,2007,Libya
12822,tvshow,2016,Costa Rica
12823,company,2015,Jamaica
12824,company,2012,Mali
12825,government,2009,Andorra
12826,government,2017,Kyrgyzstan
12827,politician,2015,Vietnam
12828,company,2007,Romania
12829,politician,2015,Somalia
12830,tvshow,2019,Bolivia
12831,government,2007,Fiji
12832,government,2021,Samoa
12833,tvshow,2013,Lithuania
12834,government,2015,Sierra Leone
12835,company,2010,Norway
12836,government,2008,Netherlands
12837,tvshow,2013,Bahamas
12838,company,2015,Germany
12839,company,2002,Portugal
12840,government,2005,Zambia
12841,company,2015,Sudan
12842,government,2004,Portugal
12843,tvshow,2018,Cyprus
12844,tvshow,2007,Fiji
12845,company,2019,Bolivia
12846,company,2003,Georgia
12847,tvshow,2022,Ivory Coast
12848,company,2023,Equatorial Guinea
12849,government,2006,Thailand
12850,company,2021,Greece
12851,government,2017,Ghana
12852,government,2018,Latvia
12853,politician,2010,Sri Lanka
12854,tvshow,2011,Lebanon
12855,company,2009,Madagascar
12856,tvshow,2018,Albania
12857,company,2003,East Timor
12858,company,2015,Qatar
12859,company,2012,St Lucia
12860,politician,2011,Guyana
12861,company,2015,Singapore
12862,company,2004,Serbia
12863,company,2019,Senegal
12864,company,2014,Chile
12865,tvshow,2010,Comoros
12866,company,2003,Oman
12867,politician,2007,Venezuela
12868,government,2004,Finland
12869,government,2016,Sri Lanka
12870,tvshow,2012,Bolivia
12871,government,2023,Ghana
12872,politician,2023,Tonga
12873,politician,2010,Andorra
12874,politician,2019,Portugal
12875,tvshow,2022,Czech Republic
12876,government,2019,Kosovo
12877,politician,2010,Uzbekistan
12878,government,2022,Brunei
12879,politician,2003,Mauritania
12880,government,2023,Japan
12881,company,2011,Peru
12882,politician,2015,Kosovo
12883,company,2015,Morocco
12884,politician,2022,Romania
12885,company,2022,Mali
12886,government,2003,Venezuela
12887,politician,2011,Portugal
12888,government,2021,Colombia
12889,politician,2016,Mozambique
12890,government,2006,Finland
12891,company,2010,Singapore
12892,company,2005,Bulgaria
12893,tvshow,2012,Oman
12894,politician,2009,Malaysia
12895,company,2018,Angola
12896,government,2019,Myanmar
12897,politician,2022,Oman
12898,government,2023,Sao Tome & Principe
12899,government,2006,Liberia
12900,government,2009,Kuwait
12901,company,2008,Liberia
12902,politician,2020,Turkey
12903,company,2002,Jamaica
12904,tvshow,2014,East Timor
12905,government,2017,Vanuatu
12906,politician,2008,Vietnam
12907,politician,2016,Cyprus
12908,government,2004,Turkey
12909,politician,2014,Mexico
12910,company,2009,Ivory Coast
12911,government,2015,France
12912,company,2013,Somalia
12913,government,2007,Korea North
12914,company,2002,Malaysia
12915,politician,2009,Lithuania
12916,company,2011,Tanzania
12917,government,2020,Comoros
12918,politician,2023,Ghana
12919,government,2016,Zambia
12920,government,2002,Luxembourg
12921,tvshow,2022,Chad
12922,tvshow,2006,Ecuador
12923,politician,2007,Bosnia Herzegovina
12924,company,2009,St Lucia
12925,company,2016,Micronesia
12926,government,2002,Antigua & Deps
12927,company,2021,Angola
12928,politician,2022,Ukraine
12929,tvshow,2020,St Lucia
12930,company,2010,Hungary
12931,company,2009,Latvia
12932,company,2020,Mexico
12933,government,2015,Bahrain
12934,government,2002,Moldova
12935,company,2017,Argentina
12936,government,2005,Czech Republic
12937,government,2021,Czech Republic
12938,government,2011,Poland
12939,government,2012,Kyrgyzstan
12940,company,2015,Indonesia
12941,politician,2008,Slovakia
12942,tvshow,2022,Australia
12943,tvshow,2002,Cyprus
12944,company,2002,Saudi Arabia
12945,politician,2019,Iraq
12946,government,2012,Czech Republic
12947,company,2023,Australia
12948,company,2008,Georgia
12949,government,2017,Vanuatu
12950,tvshow,2020,Lesotho
12951,politician,2015,United States
12952,government,2005,Ecuador
12953,politician,2011,El Salvador
12954,politician,2017,Kuwait
12955,company,2011,Argentina
12956,company,2021,Belarus
12957,tvshow,2007,Iraq
12958,politician,2022,Saint Vincent & the Grenadines
12959,politician,2010,Turkey
12960,company,2012,South Sudan
12961,government,2014,Seychelles
12962,tvshow,2023,Chad
12963,tvshow,2006,Sierra Leone
12964,government,2007,Israel
12965,politician,2012,Bulgaria
12966,politician,2008,Moldova
12967,government,2009,Turkmenistan
12968,politician,2021,Libya
12969,politician,2023,Liechtenstein
12970,tvshow,2005,Saudi Arabia
12971,politician,2009,Cape Verde
12972,government,2009,Dominican Republic
12973,company,2003,Malaysia
12974,government,2003,Guinea
12975,company,2008,Cuba
12976,government,2016,Estonia
12977,company,2020,Azerbaijan
12978,politician,2003,Israel
12979,politician,2002,Netherlands
12980,tvshow,2006,Guinea-Bissau
12981,tvshow,2016,Finland
12982,company,2008,Honduras
12983,politician,2023,Gambia
12984,tvshow,2008,Malaysia
12985,tvshow,2021,Iran
12986,company,2016,Peru
12987,government,2020,St Kitts & Nevis
12988,politician,2023,Uganda
12989,government,2013,Guatemala
12990,government,2022,Nicaragua
12991,company,2008,Jamaica
12992,government,2011,St Lucia
12993,government,2015,Ghana
12994,company,2023,Macedonia
12995,government,2005,Saudi Arabia
12996,government,2023,Brunei
12997,government,2015,Kyrgyzstan
12998,company,2015,Venezuela
12999,government,2007,St Kitts & Nevis
13000,tvshow,2016,Kenya
13001,tvshow,2004,Monaco
13002,government,2022,Niger
13003,government,2013,Luxembourg
13004,politician,2006,Spain
13005,politician,2002,Niger
13006,politician,2020,Trinidad & Tobago
13007,tvshow,2015,Marshall Islands
13008,politician,2004,Dominica
13009,company,2017,Cyprus
13010,politician,2017,Ivory Coast
13011,tvshow,2006,Guatemala
13012,tvshow,2012,Brunei
13013,government,2011,Costa Rica
13014,politician,2010,Marshall Islands
13015,government,2023,Ecuador
13016,company,2010,Azerbaijan
13017,tvshow,2017,Greece
13018,company,2023,Palau
13019,company,2023,Ivory Coast
13020,government,2006,Comoros
13021,government,2022,Cuba
13022,tvshow,2008,Nauru
13023,company,2018,Syria
13024,politician,2017,Ivory Coast
13025,company,2011,Mali
13026,company,2018,Libya
13027,company,2021,Belarus
13028,company,2018,Guinea-Bissau
13029,government,2003,Nigeria
13030,tvshow,2005,Czech Republic
13031,company,2020,Slovakia
13032,politician,2017,Tunisia
13033,government,2009,Serbia
13034,politician,2005,Samoa
13035,politician,2009,Zambia
